#M-sun			 dN_univ
1.200000000000000025e-02 2.727674106892242713e-12
1.300000000000000114e-02 2.816419376810503149e-12
1.400000000000000203e-02 2.901156766598854700e-12
1.500000000000000291e-02 2.982335418553081712e-12
1.600000000000000380e-02 3.060327999328118714e-12
1.700000000000000469e-02 3.135447629022672393e-12
1.800000000000000558e-02 3.207960297399691673e-12
1.900000000000000647e-02 3.278094152041443980e-12
2.000000000000000736e-02 3.346046568292075260e-12
2.100000000000000824e-02 3.411989614252423793e-12
2.200000000000000913e-02 3.476074333619579253e-12
2.300000000000001002e-02 3.538434143766606285e-12
2.400000000000001091e-02 3.599187562054704545e-12
2.500000000000001180e-02 3.658440415418611619e-12
2.600000000000001268e-02 3.716287647755524134e-12
2.700000000000001357e-02 3.772814810863790207e-12
2.800000000000001446e-02 3.828099303919500231e-12
2.900000000000001535e-02 3.882211411303671744e-12
3.000000000000001624e-02 3.935215177358982094e-12
3.100000000000001713e-02 3.987169148242476849e-12
3.200000000000001454e-02 4.038127004673237817e-12
3.300000000000001543e-02 4.088138104506421109e-12
3.400000000000001632e-02 4.137247950309531949e-12
3.500000000000001721e-02 4.185498594194243733e-12
3.600000000000001810e-02 4.232928989864259137e-12
3.700000000000001898e-02 4.279575300027363138e-12
3.800000000000001987e-02 4.325471165877048468e-12
3.900000000000002076e-02 4.370647944192836054e-12
4.000000000000002165e-02 4.415134916675888842e-12
4.100000000000002254e-02 4.458959475380031649e-12
4.200000000000002343e-02 4.502147287481029580e-12
4.300000000000002431e-02 4.544722442120778566e-12
4.400000000000002520e-02 4.586707581645652007e-12
4.500000000000002609e-02 4.628124019212612845e-12
4.600000000000002698e-02 4.668991844448950588e-12
4.700000000000002787e-02 4.709330018611157551e-12
4.800000000000002875e-02 4.749156460486589386e-12
4.900000000000002964e-02 4.788488124111616962e-12
5.000000000000003053e-02 4.827341069236132105e-12
5.100000000000003142e-02 4.865730525342243563e-12
5.200000000000003231e-02 4.903670949921005856e-12
5.300000000000003320e-02 4.941176081622188982e-12
5.400000000000003408e-02 4.978258988815913144e-12
5.500000000000003497e-02 5.014932114039448477e-12
5.600000000000003586e-02 5.051207314745990753e-12
5.700000000000003675e-02 5.087095900723338809e-12
5.800000000000003764e-02 5.122608668507998334e-12
5.900000000000003852e-02 5.157755933083394836e-12
6.000000000000003941e-02 5.192547557118735660e-12
6.100000000000004030e-02 5.226992977976950552e-12
6.200000000000004119e-02 5.261101232695571198e-12
6.300000000000004208e-02 5.294880981122800092e-12
6.400000000000004297e-02 5.328340527371990685e-12
6.500000000000004385e-02 5.361487839741035411e-12
6.600000000000004474e-02 5.394330569228327915e-12
6.700000000000004563e-02 5.426876066763857709e-12
6.800000000000004652e-02 5.459131399262369751e-12
6.900000000000004741e-02 5.491103364595194592e-12
7.000000000000004829e-02 5.522798505568133776e-12
7.100000000000004918e-02 5.554223122984588495e-12
#/Companion Brown Dwarfs/#a31621/-/
