#M_sun                   dN_universe
3.154999999999999794e-15 1.899999999999999953e-02
1.254999999999999883e-15 7.500000000000001110e-02
5.000000000000000389e-16 2.950000000000000400e-01
1.990000000000000042e-16 1.150000000000000133e+00
7.900000000000000180e-17 4.500000000000000000e+00
3.155000000000000237e-17 1.800000000000000000e+01
1.259999999999999921e-17 2.800000000000000000e+01
4.999999999999999587e-18 5.000000000000000000e+01
1.989999999999999811e-18 9.500000000000000000e+01
7.899999999999999371e-19 1.750000000000000000e+02
3.154999999999999775e-19 3.250000000000000000e+02
1.255000000000000015e-19 6.000000000000000000e+02
#/Oort Cloud Comets, Universe/#94c9a9/--/
